"_id","time_local","remote_addr","request_method","http_user_agent","request_uri","http_referer","status","request_time","body_bytes_sent","score","model_version","user_agent_os","user_agent_browser","user_agent_device","request_uri_length"
"666411d36056afecee60f787","08/Jun/2024:08:09:55 +0000","172.20.0.1","PATCH","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36 Edg/121.0.0.0","/patch","-",200,0.007,455,-1.0,0,"Windows","Edge","Other",""
"666411d46056afecee60f788","08/Jun/2024:08:09:56 +0000","172.20.0.1","DELETE","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36","/delay/1","-",200,1.004,426,-1.0,0,"Windows","Chrome","Other",""
"666411d46056afecee60f789","08/Jun/2024:08:09:56 +0000","172.20.0.1","DELETE","Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Mobile Safari/537.36","/status/403","-",403,0.003,0,-1.0,0,"Android","Chrome Mobile","K",""
"666411d46056afecee60f78a","08/Jun/2024:08:09:56 +0000","172.20.0.1","POST","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36 Edg/121.0.0.0","/post","-",200,0.005,454,-1.0,0,"Windows","Edge","Other",""
"666411d46056afecee60f78b","08/Jun/2024:08:09:56 +0000","172.20.0.1","PUT","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36 Edg/121.0.0.0","/put","-",200,0.004,453,-1.0,0,"Windows","Edge","Other",""
"666411d46056afecee60f78c","08/Jun/2024:08:09:56 +0000","172.20.0.1","PUT","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36","/put","-",200,0.003,439,-1.0,0,"Windows","Chrome","Other",""
"666411d46056afecee60f78d","08/Jun/2024:08:09:56 +0000","172.20.0.1","POST","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:123.0) Gecko/20100101 Firefox/123.0","/post","-",200,0.003,409,-1.0,0,"Windows","Firefox","Other",""
"666411d46056afecee60f78e","08/Jun/2024:08:09:56 +0000","172.20.0.1","DELETE","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36 Edg/121.0.0.0","/delete","-",200,0.003,456,-1.0,0,"Windows","Edge","Other",""
"666411d46056afecee60f78f","08/Jun/2024:08:09:56 +0000","172.20.0.1","DELETE","Mozilla/5.0 (iPhone; CPU iPhone OS 17_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) EdgiOS/118.0.2088.68 Version/17.0 Mobile/15E148 Safari/604.1","/delete","-",200,0.002,487,-1.0,0,"iOS","Edge Mobile","iPhone",""
"666411d46056afecee60f790","08/Jun/2024:08:09:56 +0000","172.20.0.1","DELETE","Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) EdgiOS/116.0.1938.56 Version/17.0 Mobile/15E148 Safari/604.1","/delete","-",200,0.002,487,-1.0,0,"iOS","Edge Mobile","iPhone",""
